Name Of Championaships,First Team,Second Team,Match Time,Match Result
الدوري المصري,حرس الحدود,الأهلي,21:30,0 - 3
كأس مصر,الاتحاد السكندري,بيراميدز,18:30,0 - 1
كأس مصر,سيراميكا كليوباترا,المقاولون العرب,21:30,0 - 1
